first_name;last_name;city;email
Paulene;Rhule;Matane;paulene_rhule@rhule.org
Lera;Hua;Miramichi;lhua@aol.com
Jillian;Hailstone;Mississauga;jhailstone@yahoo.com
Mammie;Cisney;Montreal;mammie@cox.net
Callie;Neikirk;Mississauga;callie.neikirk@neikirk.org
Rana;Lehn;Milton;rlehn@yahoo.com
Tesha;Brang;Montreal;tesha@aol.com
Avery;Demus;Maple Ridge;avery.demus@aol.com
Mozelle;Hermon;Mount Pisgah;mozelle_hermon@cox.net
Vonda;Normandeau;Mirabel;vonda@yahoo.com
Harris;Sheck;Montreal;harris@cox.net
Maddie;Foulds;Montreal;maddie@hotmail.com
Steffanie;Meinen;Montreal;steffanie.meinen@cox.net
Lon;Tibbles;Mississauga;lon.tibbles@cox.net
Marquetta;Quinlisk;Mont-Royal;marquetta_quinlisk@aol.com
Dorothy;Aitken;Mississauga;dorothy.aitken@cox.net
Val;Bigaud;Montreal;val_bigaud@aol.com
Romana;Riesgraf;Moncton;romana_riesgraf@hotmail.com
Tawanna;Kuamoo;Matane;tawanna_kuamoo@gmail.com
Denny;Zeanah;Montreal;denny_zeanah@zeanah.com
Rosann;Heinricher;Mirabel;rosann_heinricher@heinricher.com
Dorcas;Diebold;Mississauga;dorcas_diebold@diebold.com
Myra;Palenik;Montmagny;myra_palenik@palenik.com
Luann;Michon;Montreal;luann@cox.net
Verona;Jobst;Montreal;verona_jobst@jobst.org
Rikki;Montalgo;Montreal;rikki@montalgo.com
Jules;Erichsen;Mississauga;jules@cox.net
Willetta;Cesa;Membertou;willetta_cesa@gmail.com
Ricki;Traux;Montreal;ricki.traux@traux.com
Clemencia;Momplaisir;Montreal;cmomplaisir@yahoo.com
